Job Title,Job Salary,Key Skills,Role Category,Functional Area,Industry,Role
Digital Media Planner,Not Disclosed by Recruiter,media_planning digital_media,Advertising,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Media Planning Executive/Manager
Software Test Engineer,Not Disclosed by Recruiter,manual_testing test_engineering test_cases web_testing web_technologies,Programming_&_Design,IT_Software,IT-Software Software_Services,Testing Engineer
Opening Adobe Analytics Specialist,"7,00,000-17,00,000",adobe_experience_manager digital digital_marketing adobe_analytics data_analytics aem adobe sitecatalyst,Programming_&_Design,IT_Software,IT-Software Software_Services,System Analyst
Opportunity Azure Devops Architect,Not Disclosed by Recruiter,tfs azure git vsts docker dynatrace splunk aws,Programming_&_Design,IT_Software,IT-Software Software_Services,Technical Architect
Workflow Coordinator,Not Disclosed by Recruiter,operations workflow tat monitoring mts email,Operations,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Process Flow Analyst
Oracle IDAM,Not Disclosed by Recruiter,oracle_idam oim oam,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Looking Facebook social Media Manager our Digital Marketing Ageny,"3,50,000-5,00,000",digital_marketing seo social_media_marketing content_marketing email_marketing sem google_analytics campaign_management facebook media_management,Online Digital_Marketing,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Social Media Marketing Manager
Tooling amp Sampling,Not Disclosed by Recruiter,help_desk customer_service customer_relationship access_controls asset_management vendor_management,Engineering_Design,Engineering_Design R&D,Industrial_Products Heavy_Machinery,Senior Design Engineer
Magento Developer,Not Disclosed by Recruiter,copyright email jquery xml javascript cakephp customer_service open_source facebook css3,Programming_&_Design,IT_Software,Textiles Garments Accessories,Software Developer
Looking Trained Freshers in MS Dynamics CRM,Not Disclosed by Recruiter,c# ms_dynamics_crm microsoft_dynamics ms_dynamics,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
QA Executive,"2,00,000-3,00,000",qa_executive,QA Testing Documentation,IT_Software,Pharma Biotech Clinical_Research,Quality Assurance/Quality Control Executive
Back End Java Developer Restful Services soap,Not Disclosed by Recruiter,java_ee jms core_java junit weblogic html jpa json soap sql,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Product Engineer,Not Disclosed by Recruiter,conceptualization architecting continuous_improvement side development front_end it,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Opening Articulate tool Developer Articulate Captivate,"2,00,000-4,00,000",articulate_storyline,Programming_&_Design,IT_Software,Animation Gaming,Graphic/Web Designer
Software Engineer C Development Ooad oops,Not Disclosed by Recruiter,c# java oop c++ multithreading uml ooad oops .net debugging,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Hiring Tech Pm scrum Master,Not Disclosed by Recruiter,java jpa hibernate project_management jdbc scrum_master microservices agile soap rest,Project_Management,IT_Software,IT-Software Software_Services,Project Manager-IT/Software
US Based Financial Looking Java API Engineers HYD,Not Disclosed by Recruiter,java java_api banking j2ee api finance core_java microservices,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Strong Partner Ecosystem,Not Disclosed by Recruiter,gis iso_27001 hr information_system process iso_9001 information_security_management gis_software management edge,Programming_&_Design,IT_Software,IT-Software Software_Services,Project Lead
Senior Executive Contract Logistics Bom WP A,Not Disclosed by Recruiter,administration administrative_support contract_logistics staff_development site_management quality_improvement warehousing warehouse_operations,Logistics,Purchase Logistics Supply_Chain,Courier Transportation Freight Warehousing,Logistics Executive
nutanix sme,Not Disclosed by Recruiter,troubleshooting dns dhcp monitoring virtualization shell_scripting python vms open_source archiving,Technical_Support,IT_Hardware Technical_Support Telecom_Engineering,IT-Software Software_Services,Technical Support Manager
System Architect g g Wireless Network Architecture Migration,Not Disclosed by Recruiter,4g 3gpp 3g system_architect lte radio_access_network phd ieee,Programming_&_Design,IT_Software,IT-Software Software_Services,Technical Architect
Excellent Opportunity Linux Device Driver and Ban,Not Disclosed by Recruiter,arm_processor device_drivers embedded_linux linux_kernel ipc,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
ODI Developer lead ODI Developer RACI,Not Disclosed by Recruiter,odi matrix,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
UI Developer,Not Disclosed by Recruiter,javascript sql php php_mysql css software_development technical photoshop mca ajax jquery application web design mysql html,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
Android Developer,Not Disclosed by Recruiter,android btech iphone server analytical developing ios platforms objective_c web xml design json programming development c testing mobile xcode application_development eclipse application sdk applications,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
iOS Developer,Not Disclosed by Recruiter,bca graphics application_development b_tech core b_sc application b_e ios publishing animation,Programming_&_Design,IT_Software,IT-Software Software_Services,Software Developer
F A Black belt Process Excellence Lead,Not Disclosed by Recruiter,accounting continuous_improvement process_improvement load_balancing lean_six_sigma black_belt training green_belt process_re_-_engineering process_excellence business_excellence otc,Back_Office Web Transaction_Processing,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Team Leader -(NonTechnical)
Digital Content Producer largest Media House,"4,00,000-6,00,000",automobile digital_content content_development production web_content_writing,Content_Development,Journalism Editing Content,Media Entertainment Internet,Content Developer
Backend Developer,Not Disclosed by Recruiter,php networking data_structures http json software_design computer_science system_design backend ticketing,Programming_&_Design,IT_Software,Internet Ecommerce,Software Developer
Compiler Support Engineer,Not Disclosed by Recruiter,graphics c++ windows_os linux high_performance_computing test_cases system_software gaming freebsd,Programming_&_Design,IT_Software,Telcom ISP,Software Developer
Clubhouse Manager Facility Manager,Not Disclosed by Recruiter,facility_management facility_services,Health_&_Fitness,Beauty Fitness Spa_Services,Facility_Management,Centre Head / Branch Head / Club Manager
Architect Junior Middle level,Not Disclosed by Recruiter,co_ordination team_management drafting loans online coordination quality,Architectural_Services,Architecture Interior_Design,BPO Call_Centre ITeS,Project Architect
php developer,Not Disclosed by Recruiter,english php xml dom soap com web_technologies written_communication email time,Programming_&_Design,IT_Software,Recruitment Staffing,Software Developer
